Timestamp,What is your birth year? (e.g. 1998),Gender?,  What is your highest level of education?  ,  What industry do you work in?  ,  How would you rate your technical knowledge of AI?  ,  How often do you use AI-powered tools?  ,"What AI-powered services do you use most frequently? 
(You can choose multiple) ",  Why do you typically use AI?  ,"Have you noticed AI-generated content (e.g., news, ads, recommendations) influencing your choices in any of the following?   ",Do you think that AI recommendation based on your own choice is helping you?,Do you think that we should be more concern about using AI system?,"Do you think we should trust AI to make critical decisions in  Healthcare (e.g., AI diagnosing diseases)?",How much do you trust AI to make critical decisions in Healthcare?,"Do you think we should trust AI to make critical decisions in  Finance (e.g., AI approving loans or detecting fraud)?",How much do you trust AI to make critical decisions in Finance?,"Do you think we should trust AI to make critical decisions in  Hiring & Recruitment (e.g., AI screening job applications)?",How much do you trust AI to make critical decisions in Hiring and Recruitment?,"Do you think we should trust AI to make critical decisions in  Education (e.g., AI-assisted learning, grading systems)?",How much do you trust AI to make critical decisions in Education?,"Do you think we should trust AI to make critical decisions in  Customer Service (e.g., AI chatbots solving queries)?",How much do you trust AI to make critical decisions in Customer Service?,Have you ever experienced an AI-driven decision that felt unfair or biased?,Do you believe AI will replace jobs in your industry within the next 10 years?  ,Do you believe AI will create more jobs than it eliminates?  ,Are you actively learning new skills to adapt to AI-driven changes in the job market?  ,What is your biggest concern about AI?  ,Do you think AI should be more strictly regulated by governments?  ,Do you believe AI should be required to disclose when its content is AI-generated?  ,"How do you feel about AI making creative works (e.g., writing books, making music, generating art)?  "
2025/04/15 12:02:10 pm EET,1997,Male,Bachelor,Education,Expert,Daily,ChatGPT;Gemini,Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption,Maybe,Yes,Maybe,2,No,1,No,2,Yes,5,Yes,3,Yes,Yes-but-not-completely,Yes,Yes,AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/17 1:09:03 am EET,1995,Male,Bachelor,Student,Expert,Daily,ChatGPT;Gemini;Google Assistant;Grammarly,Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,Maybe,3,Maybe,3,Maybe,4,Yes,5,Yes,4,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/17 1:13:25 am EET,2001,Female,HSC,Student,Intermediate,Weekly- A few times,Gemini;Google Assistant,Personal-Use;Education,Online shopping;Social media content consumption,Yes,Maybe,Yes,4,Yes,4,Yes,5,Yes,5,Yes,4,Maybe,Yes,Maybe,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Sometimes, but not too restrictive","No, it is unnecessary",AI-generated content is exciting and beneficial
2025/04/17 1:22:28 am EET,1973,Female,HSC,Others,None,Monthly- A few times,Google Assistant,Personal-Use,None of the above,No,Yes,No,2,No,2,Maybe,3,Yes,4,Maybe,3,Yes,No,Yes,No-Effect-in-my-career,"None, I am optimistic about AI","No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/17 3:36:46 pm EET,1996,Female,Bachelor,Technology-IT,Intermediate,Daily,ChatGPT;Gemini;Siri;Grammarly,Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Education/learning habits,Yes,Yes,Yes,3,Yes,5,No,2,Yes,3,Yes,5,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;AI bias in decision-making,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/19 7:31:38 am EET,1997,Female,Master,Education,Beginner,Weekly- A few times,ChatGPT,Automation,Online shopping,Yes,Yes,Yes,1,Yes,1,Maybe,1,Maybe,1,Yes,1,Yes,Yes,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 7:31:50 am EET,2002,Male,Bachelor,Others,Beginner,Daily,ChatGPT,Education,Education/learning habits,Yes,Yes,Yes,1,No,1,Yes,1,Yes,1,Yes,1,Yes,No,Maybe,No-Effect-in-my-career,"None, I am optimistic about AI","No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 7:43:52 am EET,1998,Female,Bachelor,Education,Intermediate,Daily,ChatGPT;Grammarly,Education,Education/learning habits,Yes,Yes,No,1,No,1,No,1,No,1,No,1,Yes,Yes-but-not-completely,No,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/19 7:43:53 am EET,2003,Male,Bachelor,Others,Beginner,Weekly- A few times,ChatGPT;Google Assistant,Personal-Use;Education,Career decisions;Education/learning habits,Maybe,Yes,Maybe,3,Yes,4,Yes,5,Yes,4,Yes,5,Yes,Yes-but-not-completely,Maybe,Yes,Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 7:48:35 am EET,2000,Male,Bachelor,Others,Intermediate,Never,ChatGPT;Google Assistant,Personal-Use;Assignment;Education;,Online shopping;Education/learning habits,Maybe,Maybe,Yes,3,No,2,Maybe,5,Yes,5,Yes,4,Maybe,Yes,No,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks,"Yes, AI should have strong legal restrictions","No, it is unnecessary",AI-generated content is exciting and beneficial
2025/04/19 7:52:39 am EET,2005,Female,HSC,Student,Intermediate,Daily,ChatGPT;Gemini;Google Assistant,Coding;Personal-Use;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,No,4,Yes,3,Maybe,4,Yes,1,Maybe,3,No,Yes-but-not-completely,No,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/19 7:53:06 am EET,1986,Male,Master,Education,Intermediate,Weekly- A few times,ChatGPT;Deep Seek,Coding;Personal-Use;Education,None of the above,Yes,No,No,1,Yes,4,No,2,Yes,4,Yes,4,No,No,No,Yes,AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 7:53:30 am EET,1998,Male,Master,Others,Beginner,Weekly- A few times,Google Assistant,Education,Career decisions,Yes,Yes,Yes,2,No,3,Yes,4,Yes,2,Yes,3,Yes,Yes,No,Yes,AI bias in decision-making,"No, AI should be allowed to develop freely","No, it is unnecessary",AI-generated content is concerning and threatens human creativity
2025/04/19 7:57:32 am EET,2002,Male,Bachelor,Others,Beginner,Monthly- A few times,ChatGPT;Gemini;Google Assistant,Automation;Data-Analysis;Personal-Use;Education,Career decisions;Education/learning habits,Maybe,Maybe,Maybe,2,Maybe,2,Maybe,2,Maybe,2,Maybe,2,Maybe,Unsure,Maybe,No-Effect-in-my-career,"AI replacing human creativity and originality;None, I am optimistic about AI","Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 8:02:33 am EET,1992,Male,Bachelor,Student,Beginner,Monthly- A few times,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Data-Analysis;Personal-Use;Education,Online shopping;Social media content consumption;None of the above,Maybe,Yes,No,1,No,1,No,1,No,1,No,1,Yes,Unsure,Maybe,No,Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/19 8:12:17 am EET,1997,Male,Bachelor,Technology-IT,Intermediate,Weekly- A few times,ChatGPT,Personal-Use;Education,Career decisions;Education/learning habits,Maybe,Maybe,No,3,Maybe,3,Yes,3,Yes,3,Maybe,3,Yes,Yes-but-not-completely,No,Yes,Privacy and data security risks,"Sometimes, but not too restrictive;No, AI should be allowed to develop freely","No, it is unnecessary",It depends on how AI is used
2025/04/19 8:16:42 am EET,1998,Male,Master,Others,Beginner,Weekly- A few times,ChatGPT,Personal-Use,Education/learning habits,Yes,Maybe,No,3,Maybe,3,No,3,Maybe,5,Maybe,4,Maybe,Yes-but-not-completely,No,No-Effect-in-my-career,AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/19 8:20:30 am EET,2002,Female,Bachelor,Student,Beginner,Weekly- A few times,ChatGPT;Gemini,Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Yes,Maybe,Maybe,4,Maybe,4,Maybe,4,Yes,2,Maybe,3,No,Yes-but-not-completely,No,No,AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 8:22:24 am EET,2005,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT;Gemini;Google Assistant,Coding;Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Yes,Yes,No,2,No,1,No,1,No,5,Maybe,3,Yes,Unsure,Maybe,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 8:29:28 am EET,2003,Male,Bachelor,Others,None,Daily,None-above,Education,Education/learning habits,Yes,No,Maybe,3,Maybe,3,Maybe,2,Yes,4,Maybe,3,Maybe,Yes,Maybe,No-Effect-in-my-career,Privacy and data security risks,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
