,Gender,Education,AI_Usage,Healthcare,Healthcare_rating,Finance,Finance_rating,Hiring,Hiring_rating,Education,Education_rating,Service,Service_rating,Age
0,Male,Bachelor,Daily,Maybe,2,No,1,No,2,Yes,5,Yes,3,28
1,Male,Bachelor,Daily,Maybe,3,Maybe,3,Maybe,4,Yes,5,Yes,4,30
2,Female,HSC,Weekly- A few times,Yes,4,Yes,4,Yes,5,Yes,5,Yes,4,24
3,Female,HSC,Monthly- A few times,No,2,No,2,Maybe,3,Yes,4,Maybe,3,52
4,Female,Bachelor,Daily,Yes,3,Yes,5,No,2,Yes,3,Yes,5,29
5,Female,Master,Weekly- A few times,Yes,1,Yes,1,Maybe,1,Maybe,1,Yes,1,28
6,Male,Bachelor,Daily,Yes,1,No,1,Yes,1,Yes,1,Yes,1,23
7,Female,Bachelor,Daily,No,1,No,1,No,1,No,1,No,1,27
8,Male,Bachelor,Weekly- A few times,Maybe,3,Yes,4,Yes,5,Yes,4,Yes,5,22
9,Male,Bachelor,Never,Yes,3,No,2,Maybe,5,Yes,5,Yes,4,25
10,Female,HSC,Daily,No,4,Yes,3,Maybe,4,Yes,1,Maybe,3,20
11,Male,Master,Weekly- A few times,No,1,Yes,4,No,2,Yes,4,Yes,4,39
12,Male,Master,Weekly- A few times,Yes,2,No,3,Yes,4,Yes,2,Yes,3,27
13,Male,Bachelor,Monthly- A few times,Maybe,2,Maybe,2,Maybe,2,Maybe,2,Maybe,2,23
14,Male,Bachelor,Monthly- A few times,No,1,No,1,No,1,No,1,No,1,33
15,Male,Bachelor,Weekly- A few times,No,3,Maybe,3,Yes,3,Yes,3,Maybe,3,28
16,Male,Master,Weekly- A few times,No,3,Maybe,3,No,3,Maybe,5,Maybe,4,27
17,Female,Bachelor,Weekly- A few times,Maybe,4,Maybe,4,Maybe,4,Yes,2,Maybe,3,23
18,Male,HSC,Weekly- A few times,No,2,No,1,No,1,No,5,Maybe,3,20
19,Male,Bachelor,Daily,Maybe,3,Maybe,3,Maybe,2,Yes,4,Maybe,3,22
20,Male,HSC,Weekly- A few times,No,3,Maybe,3,Maybe,3,Maybe,4,Yes,4,22
21,Male,Bachelor,Daily,No,5,No,5,Yes,3,Maybe,3,Yes,3,25
22,Male,HSC,Daily,Yes,3,Yes,3,No,3,Yes,3,Yes,2,21
23,Male,Bachelor,Weekly- A few times,No,2,No,2,Maybe,3,Maybe,3,Maybe,3,20
24,Female,HSC,Weekly- A few times,No,2,No,2,Yes,4,No,3,Maybe,2,20
25,Male,HSC,Daily,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,22
26,Male,Bachelor,Weekly- A few times,Maybe,2,No,3,Maybe,2,No,1,No,1,21
27,Male,Bachelor,Daily,Yes,5,Yes,5,Yes,5,Yes,5,Yes,5,27
28,Male,Bachelor,Daily,Yes,2,Maybe,2,No,2,Yes,3,Yes,2,23
29,Male,HSC,Weekly- A few times,Maybe,3,Yes,1,Yes,2,Maybe,2,Yes,1,20
30,Male,Bachelor,Daily,Maybe,3,Maybe,3,Yes,4,Yes,4,Yes,5,24
31,Male,Bachelor,Daily,Yes,4,Maybe,3,No,2,Yes,4,Yes,4,25
32,Male,Bachelor,Daily,Yes,4,Maybe,3,Maybe,3,Yes,1,Maybe,3,27
33,Male,Bachelor,Daily,No,1,Yes,4,Maybe,3,Maybe,3,Yes,4,24
34,Male,Bachelor,Daily,No,3,Maybe,3,Maybe,3,Maybe,3,No,3,22
35,Male,HSC,Daily,Maybe,1,Yes,1,Maybe,2,Yes,1,Yes,1,20
36,Female,Bachelor,Weekly- A few times,Yes,2,Yes,3,Yes,3,Maybe,3,No,3,24
37,Male,Bachelor,Weekly- A few times,Maybe,2,Yes,4,Maybe,3,Yes,4,Yes,3,24
38,Female,HSC,Daily,Yes,4,Yes,3,Yes,5,Yes,5,Yes,2,22
39,Female,Bachelor,Daily,Yes,3,Yes,3,Yes,3,Yes,3,Yes,3,24
40,Male,Bachelor,Monthly- A few times,Maybe,1,Maybe,1,Maybe,1,Maybe,1,Maybe,1,26
41,Male,Bachelor,Weekly- A few times,No,2,No,2,No,1,Maybe,3,No,1,24
42,Female,Bachelor,Weekly- A few times,No,3,No,3,No,2,No,3,Yes,3,22
43,Male,Bachelor,Weekly- A few times,No,2,No,2,Maybe,3,Yes,4,Yes,4,24
44,Male,HSC,Never,No,4,Maybe,5,Yes,3,Yes,5,Yes,3,28
45,Male,HSC,Daily,Maybe,2,Maybe,3,Yes,4,Yes,3,Yes,4,20
46,Male,Bachelor,Weekly- A few times,No,1,No,1,Maybe,3,Yes,4,Yes,4,27
47,Male,Bachelor,Daily,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,25
48,Male,Bachelor,Never,No,1,Yes,1,No,1,No,1,No,1,21
49,Male,Bachelor,Weekly- A few times,Maybe,2,Maybe,3,Yes,3,Yes,4,Yes,5,31
50,Male,Bachelor,Daily,Yes,3,Yes,3,Yes,3,Yes,3,Yes,3,32
51,Male,HSC,Daily,Maybe,3,Maybe,2,No,1,Maybe,3,Maybe,3,21
52,Male,Master,Weekly- A few times,No,3,No,2,No,1,Maybe,1,No,1,28
53,Female,Master,Daily,No,1,Maybe,3,No,1,No,1,Maybe,3,30
54,Male,Master,Daily,No,2,No,1,No,1,No,1,No,1,26
55,Female,Bachelor,Weekly- A few times,No,1,Maybe,2,Yes,3,No,1,Maybe,2,25
56,Female,Bachelor,Daily,No,1,No,1,Yes,4,Yes,5,Maybe,2,23
57,Female,Master,Daily,No,2,Maybe,3,No,1,Yes,3,Yes,3,29
58,Female,Master,Daily,Maybe,3,Maybe,3,Maybe,3,Yes,4,Maybe,2,26
59,Male,Master,Weekly- A few times,No,2,Yes,4,Yes,3,Yes,4,Yes,5,27
60,Female,Master,Daily,No,1,No,1,No,1,No,1,Maybe,2,28
61,Female,Bachelor,Monthly- A few times,Yes,1,Yes,1,No,1,Maybe,1,Yes,1,25
62,Male,Master,Weekly- A few times,No,2,Yes,4,No,1,Yes,4,Yes,5,27
63,Male,Master,Never,Yes,1,Yes,4,Yes,1,Maybe,1,No,1,29
64,Female,Master,Weekly- A few times,Yes,4,Yes,1,Yes,3,Yes,3,Yes,3,25
65,Male,HSC,Daily,No,1,Yes,4,Yes,3,Yes,5,Yes,3,21
66,Male,Bachelor,Daily,No,1,Yes,3,Yes,5,Yes,5,Yes,4,27
67,Male,Bachelor,Daily,No,1,Yes,4,Yes,5,Yes,5,Yes,4,20
68,Female,Master,Daily,No,1,No,1,Maybe,3,Yes,5,Yes,5,28
69,Female,Bachelor,Daily,No,1,No,2,No,2,Yes,3,Yes,2,22
70,Female,Bachelor,Daily,Maybe,3,Yes,5,Yes,5,Yes,4,Maybe,3,21
71,Female,Bachelor,Daily,Yes,3,No,1,No,1,Yes,4,Yes,3,22
72,Female,Master,Daily,No,1,No,1,Yes,5,Yes,5,Yes,5,29
73,Male,HSC,Daily,No,1,Yes,4,No,1,Maybe,3,Yes,4,22
74,Male,HSC,Daily,No,3,No,3,Maybe,5,Maybe,5,Yes,5,20
75,Male,HSC,Daily,No,1,Maybe,3,Yes,5,Yes,5,Yes,5,21
76,Male,Bachelor,Weekly- A few times,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,31
77,Male,Bachelor,Weekly- A few times,Maybe,1,Maybe,1,Maybe,3,Maybe,3,Maybe,4,22
78,Male,Bachelor,Never,Yes,3,Maybe,4,Yes,3,No,2,Maybe,2,29
79,Female,HSC,Never,Maybe,2,Maybe,2,Maybe,3,Yes,3,Yes,3,22
80,Male,HSC,Never,No,2,No,2,Yes,1,Yes,3,Yes,2,21
81,Male,HSC,Weekly- A few times,Maybe,3,Yes,3,Maybe,3,Yes,2,Yes,2,21
82,Male,Bachelor,Daily,Maybe,3,No,1,Yes,4,Yes,4,Maybe,3,19
83,Male,HSC,Daily,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,21
84,Female,Bachelor,Daily,No,3,Maybe,2,No,2,Yes,1,Maybe,1,19
85,Male,HSC,Monthly- A few times,Maybe,3,Maybe,3,Yes,3,Yes,3,Yes,2,20
86,Male,HSC,Daily,Yes,4,Yes,4,Yes,4,Yes,4,No,4,21
87,Female,Bachelor,Daily,No,4,Maybe,2,No,3,Yes,1,Maybe,3,21
88,Male,HSC,Daily,Yes,5,Yes,5,Yes,1,Yes,5,Yes,5,21
89,Male,Bachelor,Daily,No,4,Maybe,2,No,3,Yes,1,Maybe,3,21
90,Male,HSC,Never,Maybe,3,Maybe,3,Maybe,3,Yes,2,Maybe,4,21
91,Male,HSC,Weekly- A few times,No,1,No,1,No,1,Maybe,2,Yes,5,21
92,Male,HSC,Daily,Yes,3,Maybe,3,Maybe,3,Yes,5,Maybe,3,25
93,Male,HSC,Weekly- A few times,Yes,5,Yes,3,Maybe,3,Yes,5,Maybe,3,24
94,Male,Bachelor,Daily,Maybe,3,No,2,No,2,Yes,4,Yes,3,20
95,Male,HSC,Weekly- A few times,No,1,Maybe,3,Yes,3,Maybe,2,Yes,2,22
96,Male,Bachelor,Monthly- A few times,Maybe,3,Yes,4,Yes,4,Yes,4,Yes,5,21
97,Male,Bachelor,Weekly- A few times,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,20
98,Female,Bachelor,Weekly- A few times,No,5,Maybe,2,Maybe,2,Yes,3,Yes,2,22
99,Male,HSC,Weekly- A few times,No,3,Maybe,3,No,3,Maybe,3,Maybe,3,22
100,Male,HSC,Daily,Yes,1,Yes,2,Yes,1,Yes,1,Yes,1,32
101,Male,HSC,Daily,No,1,No,1,Yes,4,Yes,4,Yes,4,20
102,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,18
103,Male,HSC,Daily,Maybe,1,No,1,Yes,3,No,2,Maybe,3,21
104,Male,HSC,Daily,No,1,Maybe,2,Yes,4,Maybe,3,Maybe,3,19
105,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
106,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,18
107,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
108,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,20
